date,vendor,time,attendees,site,end
2025-09-17,Steel City Ukeleles ,7pm,,https://www.meetup.com/steel-city-ukuleles/?_gl=1*cm16s5*_up*MQ..*_ga*MTAxNjM4MDg1Ni4xNzQyOTE1NzAz*_ga_NP82XMKW0P*MTc0MzY5ODM4Ni40LjAuMTc0MzY5ODM4Ni42MC4wLjA.,
2025-09-23,$1 Taco Tuesday,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-09-25,Open Mic Night by Abby,7:30pm,,https://www.instagram.com/itsabbye?igsh=MTk4ZWJrYnk2bjBtaw==,
2025-09-27,Oktoberfest,2-8pm,,https://www.eventbrite.com/e/oktoberfest-at-lolev-beer-tickets-1665564571469?aff=oddtdtcreator,
2025-09-27,I Lolev Karaoke: Fall/ Twlight Edition,9-11:30pm,,https://www.eventbrite.com/e/i-lolev-karaoke-fall-audition-tickets-1689284548559?aff=oddtdtcreator,
2025-09-27,Lititz Craft Beer Fest,,,https://lititzcraftbeerfest.com/,
2025-09-30,$1 Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-10-01,Steel City Ukeleles ,7pm,,https://www.meetup.com/steel-city-ukuleles/?_gl=1*cm16s5*_up*MQ..*_ga*MTAxNjM4MDg1Ni4xNzQyOTE1NzAz*_ga_NP82XMKW0P*MTc0MzY5ODM4Ni40LjAuMTc0MzY5ODM4Ni42MC4wLjA.,
2025-10-02,Open Mic Night by Abby,7:30pm,,https://www.instagram.com/itsabbye?igsh=MTk4ZWJrYnk2bjBtaw==,
2025-10-04,Dog of the Month Social: Dogscar's,2-4:30pm ,,https://www.eventbrite.com/e/1671659421329?aff=oddtdtcreator,
2025-10-04,Kennett Brew Fest,,,https://www.kennettbrewfest.com/kennett-brewfest,
2025-10-07,$1 Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-10-09,Open Mic Night by Abby, 7:30pm,,https://www.instagram.com/itsabbye?igsh=MTk4ZWJrYnk2bjBtaw==,
2025-10-10,I Lolev Karaoke: Dad Rock Edition,9-11:30pm ,,https://www.eventbrite.com/e/i-lolev-karaoke-dad-rock-edition-tickets-1721754547199?aff=oddtdtcreator,
2025-10-11,Senstoberfest Harrisburg,,,,
2025-10-11,Encore Comedy Independent Show,8-9:30pm,,https://www.eventbrite.com/e/standup-comedy-at-lolev-beer-pittsburgh-pa-tickets-1657854721099?aff=ebdsshcopyurl&utm-campaign=social&utm-content=attendeeshare&utm-medium=discovery&utm-term=organizer-profile&utm-share-source=organizer-profile,
2025-10-14,$1 Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-10-16,Open Mic Night by Abby,7:30pm,,https://www.instagram.com/itsabbye?igsh=MTk4ZWJrYnk2bjBtaw==,
2025-10-21,$1 Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-10-23,Open Mic Night by Abby, 7:30pm,,https://www.instagram.com/itsabbye?igsh=MTk4ZWJrYnk2bjBtaw==,
